Supplementary Table S7. Sensitivity of the three-cluster SNF solution to parameter settings,,,,,,,,
,,,,,,,,
,,,,,,,,
Parameter varied,K,sigma,T,ARI,NMI,"Agreement, %","Changed patients, n","Minimum cluster size, n"
Default,20,0.5,20,1,1,100,0,29
K,15,0.5,20,0.954,0.939,98.3,2,27
K,25,0.5,20,0.926,0.892,97.5,3,29
K,30,0.5,20,0.904,0.867,96.7,4,30
sigma,20,0.4,20,0.572,0.604,75.8,29,2
sigma,20,0.45,20,0.654,0.715,82.5,21,9
sigma,20,0.55,20,0.905,0.868,96.7,4,30
sigma,20,0.6,20,0.883,0.832,95.8,5,29
T,20,0.5,10,1,1,100,0,29
T,20,0.5,30,1,1,100,0,29
,,,,,,,,
"Notes: The default SNF parameters were K = 20, sigma = 0.5, and T = 20. Each alternative setting changed one parameter at a time while the other parameters were held at their default values.",,,,,,,,
"ARI, NMI, and agreement compare each three-cluster solution with the default full-data partition after optimal label matching. Changed patients are those not retaining the reference subphenotype. ",,,,,,,,
" ARI, adjusted Rand index; NMI, normalized mutual information; SNF, similarity network fusion.",,,,,,,,
