,ZR-167-D1,ZR-178-D1,ZR-103-D1,ZR-112-D1,ZR-095-D1,ZR-240-D1,ZR-106-D1,ZR-245-D1,ZR-092-D1,ZR-200-D1,JL-042-D1,ZR-088-D1,ZR-223-D1,ZR-093-D1,ZR-211-D1,ZR-187-D1,ZR-189-D1,JL-034-D1,ZR-243-D1,ZR-182-D1,ZR-183-D1,ZR-247-D1,ZR-196-D1,ZR-102-D1,ZR-238-D1,JL-054-D1,ZR-191-D1,ZR-222-D1,ZR-116-D1,JL-046-D1,JL-066-D1,ZR-203-D1,ZR-105-D1,ZR-195-D1,ZR-094-D1,ZR-188-D1,XY-031-D1,ZR-179-D1,ZR-230-D1,JL-070-D1,ZR-199-D1,ZR-109-D1,ZR-220-D1,ZR-242-D1,ZR-190-D1,ZR-111-D1,XY-026-D1,ZR-186-D1,XY-034-D1,XY-011-D1,XY-049-D1,XY-012-D1,ZR-181-D1,ZR-089-D1,ZR-180-D1,ZR-241-D1,ZR-221-D1,ZR-176-D1,JL-059-D1,ZR-177-D1,ZR-219-D1,XY-016-D1,XY-028-D1,JL-063-D1,XY-013-D1,ZR-090-D1,ZR-096-D1,ZR-091-D1,ZR-192-D1,JL-064-D1,ZR-193-D1,XY-024-D1,ZR-232-D1,JL-060-D1,ZR-113-D1,ZR-108-D1,ZR-184-D1,ZR-244-D1,ZR-110-D1,JL-072-D1,ZR-233-D1,JL-038-D1,JL-052-D1,ZR-235-D1,JL-044-D1,ZR-098-D1,XY-017-D1,JL-037-D1,JL-040-D1,JL-055-D1,JL-062-D1,JL-041-D1,JL-071-D1,JL-058-D1,ZR-229-D1,ZR-224-D1,JL-057-D1,ZR-239-D1,ZR-236-D1,JL-051-D1,JL-050-D1,ZR-225-D1,XY-030-D1,ZR-197-D1,ZR-104-D1,ZR-246-D1,ZR-237-D1,ZR-226-D1,XY-056-D1,JL-065-D1,JL-049-D1,JL-056-D1,ZR-231-D1,JL-039-D1,JL-043-D1,JL-045-D1,JL-047-D1,JL-067-D1,JL-069-D1,JL-068-D1
ZR-167-D1,1.045343575,0.002300011,0.006579768,0.010716419,0.00427625,0.003068769,0.006535425,0.002728248,0.002220011,0.003472698,0.006167075,0.002573915,0.001734742,0.002643358,0.001799468,0.007381896,0.003346781,0.002372712,0.0024295,0.007348156,0.008057314,0.002255578,0.006638467,0.002516158,0.019511191,0.001981776,0.004378336,0.004453147,0.005022176,0.003654771,0.001073544,0.013449675,0.005814893,0.011270649,0.011342206,0.010045604,0.003686142,0.017379652,0.001839554,0.001320155,0.002954017,0.016434438,0.006075699,0.007521213,0.003012726,0.007251003,0.002201918,0.009982913,0.001921099,0.001301543,0.001178923,0.003125653,0.001946797,0.002593127,0.003351191,0.003358329,0.008356538,0.003378802,0.003787518,0.001400381,0.002026104,0.001073556,0.001094191,0.000950158,0.00093715,0.003814032,0.001835648,0.00117742,0.004293981,0.001426874,0.005674944,0.001133017,0.00196016,0.004733121,0.005345025,0.002156857,0.0021162,0.001778624,0.00383542,0.001425412,0.002314694,0.001008366,0.001566074,0.015925309,0.001531,0.001979207,0.001406141,0.001484711,0.001113717,0.001095529,0.001410018,0.001467868,0.001540037,0.001013719,0.001539315,0.010055504,0.002958556,0.00167108,0.001727158,0.001708932,0.001844327,0.006661052,0.000975511,0.002372812,0.003195089,0.001540145,0.003804295,0.002004804,0.000900346,0.004122726,0.002296657,0.001863299,0.001514008,0.001288709,0.001715984,0.001112174,0.001589257,0.003594738,0.001014716,0.000927081
ZR-178-D1,0.002300011,1.028045414,0.004606764,0.00201488,0.002964684,0.005154188,0.002847824,0.00282396,0.008609388,0.00391254,0.002140541,0.010237802,0.003507876,0.008301992,0.002544722,0.00845376,0.00231569,0.002455815,0.009536037,0.006620754,0.004523508,0.006463274,0.011504857,0.002748407,0.002157693,0.002232739,0.007444539,0.002300509,0.00628369,0.004938355,0.006060618,0.002809162,0.006154132,0.001865521,0.002598432,0.002129826,0.001649124,0.002762378,0.004960536,0.002336831,0.003738211,0.002902795,0.004983164,0.008938957,0.002372173,0.005247424,0.001799456,0.005205157,0.00231184,0.002255662,0.001711804,0.00185852,0.012416685,0.003487164,0.004732149,0.002651688,0.002210482,0.002680055,0.001935847,0.004656558,0.003337619,0.001881535,0.002377282,0.00228131,0.002110624,0.005147665,0.002512802,0.00360792,0.005464147,0.002502135,0.008814567,0.00164664,0.006360888,0.002584774,0.002153734,0.005541786,0.005085791,0.006049632,0.00305582,0.002505784,0.008131739,0.006538938,0.002679117,0.002782381,0.002594148,0.002199726,0.001888979,0.007313113,0.005185907,0.004211735,0.002229774,0.002628271,0.005244914,0.003755629,0.002095569,0.002247501,0.002703549,0.002589745,0.002414787,0.003564875,0.003742804,0.003175942,0.001975263,0.009578027,0.007061398,0.005414924,0.004681462,0.005610575,0.001853795,0.002385959,0.002098742,0.004387711,0.002144219,0.00276329,0.00248222,0.003053384,0.002263457,0.002003275,0.002284067,0.004560081
ZR-103-D1,0.006579768,0.004606764,1.027783764,0.007905864,0.009190912,0.002477377,0.00942515,0.008545563,0.00851685,0.003243548,0.002410843,0.004167788,0.001587372,0.010966186,0.0026699,0.003489349,0.010954698,0.001738417,0.002807359,0.005838297,0.005911311,0.008093241,0.008000192,0.002837051,0.007208466,0.001828559,0.002106709,0.00787655,0.005582868,0.001824626,0.001589077,0.007184467,0.005088836,0.002730583,0.005980704,0.006042811,0.002362326,0.003596221,0.00309917,0.001193606,0.005717593,0.01100345,0.008524275,0.003129082,0.008677566,0.006092224,0.001533991,0.00633238,0.001456803,0.001398565,0.001254183,0.001929439,0.002678798,0.008301803,0.003440939,0.002161146,0.010231576,0.011495604,0.001525009,0.005945743,0.003996298,0.001358497,0.001402583,0.001063153,0.001079809,0.009885274,0.006322588,0.002391049,0.007929567,0.001195273,0.002662665,0.001396231,0.001879776,0.001859298,0.013327702,0.005612983,0.00741837,0.004888742,0.003037315,0.001738648,0.002471131,0.001185376,0.001249498,0.005529609,0.001207707,0.003655785,0.001212959,0.001611017,0.001667039,0.001565485,0.001141866,0.001090773,0.001651149,0.002902332,0.005239703,0.006984982,0.001369175,0.004033115,0.003205229,0.001191716,0.001287951,0.002977375,0.001084481,0.002233743,0.005305107,0.005735183,0.001864414,0.002731474,0.001082282,0.001566903,0.001809103,0.001211487,0.00350251,0.001803808,0.001241322,0.001565645,0.004707923,0.00115281,0.001020029,0.001138323
ZR-112-D1,0.010716419,0.00201488,0.007905864,1.071695292,0.007153127,0.002240252,0.009487308,0.003250265,0.00397713,0.006328967,0.003030904,0.002268619,0.001848227,0.003118342,0.001738884,0.003191535,0.004264065,0.001521435,0.002005014,0.00692161,0.00393278,0.00282626,0.00319708,0.001859018,0.006759905,0.001753077,0.002409683,0.003822086,0.002558755,0.007212795,0.001065398,0.005758858,0.006389902,0.005567791,0.009033923,0.003087632,0.006325511,0.016302228,0.002920658,0.001111284,0.003942489,0.016480627,0.006842326,0.006182318,0.004427262,0.006380964,0.003887449,0.016279935,0.002364385,0.001382928,0.001278356,0.002386289,0.002079249,0.006134263,0.005410955,0.001940611,0.005523938,0.005666809,0.002114237,0.003378437,0.002492138,0.001275212,0.001248592,0.000941385,0.001119557,0.008280284,0.003320061,0.001829883,0.002756346,0.001282888,0.004646439,0.001258241,0.001927287,0.002331341,0.01437868,0.002162032,0.003552428,0.002480327,0.001986814,0.001370583,0.002630093,0.001116406,0.001443389,0.004332043,0.001226959,0.00234318,0.0011973,0.001227481,0.001116441,0.001154836,0.001364028,0.001040661,0.001353762,0.000986332,0.002101093,0.003065649,0.001619184,0.0021985,0.005230565,0.00128315,0.004564981,0.003512521,0.001107104,0.002060967,0.002205801,0.00242318,0.006080044,0.001864929,0.001030937,0.002722009,0.001488918,0.001485752,0.002289384,0.001587783,0.001732755,0.001081644,0.002076269,0.001376975,0.001010508,0.000968278
ZR-095-D1,0.00427625,0.002964684,0.009190912,0.007153127,1.039930001,0.00405318,0.012126159,0.008507609,0.007096733,0.003243541,0.0021972,0.00287999,0.001722202,0.008244908,0.00192411,0.010740445,0.005410958,0.001677077,0.002408327,0.005668091,0.004878696,0.007340066,0.005363875,0.00234409,0.0031733,0.002032478,0.002269613,0.006090335,0.002409147,0.002440074,0.001614663,0.005649071,0.004361278,0.002407291,0.00382495,0.00258488,0.005193227,0.003041964,0.004857021,0.001424258,0.005749829,0.006133181,0.008034942,0.006855262,0.008608323,0.002643534,0.002203457,0.005172199,0.001687543,0.001784996,0.001566921,0.004075913,0.004814489,0.003822799,0.007110349,0.002008269,0.006522919,0.005882683,0.003426417,0.006008514,0.003977612,0.001788769,0.00146391,0.00130605,0.001372246,0.007390431,0.003094788,0.002721564,0.005684124,0.001611685,0.002882567,0.001693665,0.002146679,0.006089481,0.008954552,0.0057201,0.009159421,0.005703654,0.002032244,0.002039508,0.002649693,0.001529067,0.001755212,0.004078974,0.002054907,0.006644695,0.001752418,0.001835683,0.002564004,0.001727862,0.001438152,0.001778902,0.001914584,0.00164297,0.006015473,0.002572586,0.003359651,0.007629066,0.006894875,0.002123943,0.001827979,0.003742153,0.001492068,0.00244798,0.004788202,0.00342479,0.001990687,0.002297437,0.001305373,0.002664183,0.001989885,0.002963819,0.003263572,0.001956301,0.004514544,0.001566371,0.006484857,0.001511511,0.001378052,0.001436349
ZR-240-D1,0.003068769,0.005154188,0.002477377,0.002240252,0.00405318,1.037903852,0.005006637,0.002762898,0.005512762,0.009888574,0.002582229,0.005977051,0.001940367,0.004797887,0.002503615,0.008181296,0.002623262,0.001970167,0.007776688,0.005846847,0.005290311,0.008919481,0.005133755,0.002115816,0.00548956,0.007618468,0.003999907,0.002375916,0.005631962,0.002256144,0.001979458,0.005871089,0.002580556,0.002991226,0.002039591,0.002465066,0.00218853,0.00247175,0.009333666,0.002347628,0.002698343,0.002420062,0.005507014,0.006074368,0.003099881,0.003643178,0.003039408,0.005121756,0.005303516,0.003195864,0.004854235,0.005141068,0.006797926,0.001829414,0.005547005,0.002223288,0.003587028,0.002687423,0.002214904,0.00439326,0.002310336,0.001992782,0.001990051,0.001950862,0.002041036,0.003293413,0.002330774,0.003800175,0.00651454,0.001867731,0.004479416,0.002052614,0.007528463,0.004465166,0.00211789,0.005442009,0.002351105,0.002260065,0.002542458,0.002644855,0.005781227,0.003147954,0.001899852,0.006991065,0.003172542,0.005215427,0.005434002,0.00474924,0.004460043,0.002047579,0.001935005,0.003672148,0.004073879,0.002221818,0.002447063,0.001988527,0.005192766,0.008959141,0.006206306,0.002140481,0.00229371,0.008701626,0.002394289,0.005128998,0.003415791,0.00205441,0.007052371,0.005203035,0.002511082,0.001987043,0.005537976,0.001909887,0.002200358,0.005708567,0.001833788,0.001780312,0.003672809,0.002342882,0.001811687,0.002247725
ZR-106-D1,0.006535425,0.002847824,0.00942515,0.009487308,0.012126159,0.005006637,1.028146087,0.009300273,0.008724336,0.006332786,0.004222184,0.003867874,0.003450379,0.002951585,0.002175161,0.009073679,0.007416843,0.002648913,0.002682732,0.002794397,0.005270287,0.006059171,0.003687082,0.001904304,0.003818458,0.004661505,0.004289066,0.011959672,0.002688359,0.00409335,0.001581686,0.006516248,0.010315105,0.007196644,0.005351157,0.002497788,0.001879536,0.004245807,0.002766881,0.001625349,0.006430017,0.004641225,0.005176346,0.005208737,0.009564024,0.00285732,0.0064214,0.006584234,0.001433131,0.001583988,0.001548382,0.005433969,0.002566299,0.007203826,0.003418387,0.00201855,0.006585473,0.005681171,0.002964783,0.005029218,0.003372436,0.001408112,0.001498089,0.001378976,0.001224321,0.01010579,0.002854944,0.002546116,0.002563732,0.001944463,0.00670392,0.001317687,0.002572029,0.005402721,0.007215737,0.002348484,0.009038159,0.005919632,0.001820235,0.001939206,0.003048438,0.002076149,0.004261236,0.002398863,0.001807262,0.003753597,0.002081546,0.00180388,0.001621342,0.001746657,0.004338893,0.001700937,0.004058038,0.001684362,0.003386154,0.003268682,0.004381412,0.002572212,0.003238521,0.004750896,0.002230379,0.002676824,0.001460651,0.002142968,0.002198799,0.006219684,0.002567072,0.001804414,0.001244573,0.002278654,0.001682176,0.002636279,0.005882169,0.001719308,0.00265616,0.001499117,0.002912603,0.002468503,0.001398084,0.00153407
ZR-245-D1,0.002728248,0.00282396,0.008545563,0.003250265,0.008507609,0.002762898,0.009300273,1.03967452,0.006642624,0.002888357,0.001969291,0.003330928,0.00184143,0.003086119,0.006200992,0.005175357,0.009277894,0.001845818,0.002434266,0.002749876,0.002782944,0.008510694,0.005097984,0.004839129,0.002774276,0.002189364,0.003008629,0.010618316,0.004816152,0.002646625,0.001795016,0.00698999,0.002807501,0.002569506,0.005436175,0.002212705,0.002726051,0.002237094,0.007234498,0.00148533,0.004158144,0.002710783,0.008193113,0.004892124,0.007785701,0.002845322,0.00137791,0.005361705,0.00171128,0.00210098,0.001545486,0.001754884,0.002097448,0.006425812,0.002282658,0.006906537,0.009377624,0.004030869,0.001566563,0.00588927,0.00978771,0.004048503,0.002191055,0.001388727,0.00157686,0.003555349,0.004626801,0.003184014,0.003518353,0.001327906,0.002378138,0.00231518,0.001995908,0.001613335,0.005242813,0.003175549,0.004420513,0.011143975,0.006503003,0.001766962,0.002738514,0.001468891,0.001446071,0.001992026,0.001337231,0.007881603,0.001509021,0.001515787,0.003924318,0.004773678,0.001331639,0.001222258,0.001593291,0.001407754,0.011768176,0.00355383,0.001547894,0.006140469,0.004337496,0.001434448,0.001448086,0.002553245,0.001551889,0.005077785,0.006107749,0.008020092,0.001818842,0.006272143,0.001472244,0.001486059,0.001665606,0.001443146,0.01345663,0.002400859,0.001575404,0.005493438,0.00468442,0.001357685,0.001236051,0.001357493
ZR-092-D1,0.002220011,0.008609388,0.00851685,0.00397713,0.007096733,0.005512762,0.008724336,0.006642624,1.049033125,0.006427666,0.001875091,0.007356256,0.00207966,0.003852156,0.003824859,0.003676747,0.006792298,0.001496781,0.009184664,0.007493406,0.005422006,0.010579813,0.006147476,0.004780329,0.002246556,0.002271073,0.003569919,0.007125354,0.003400705,0.001902293,0.001652172,0.004719484,0.005105797,0.002871682,0.003110237,0.002361387,0.001944023,0.001904304,0.007001154,0.001451429,0.006846851,0.003725493,0.00764169,0.003281932,0.00756587,0.003228732,0.001552858,0.002732799,0.001992815,0.001402025,0.001447736,0.001879266,0.00756982,0.009048213,0.009681567,0.003710285,0.004375869,0.007344484,0.001439816,0.005189075,0.005927645,0.001538912,0.001447911,0.001113829,0.001357381,0.005097866,0.006318437,0.003390527,0.002466706,0.00141395,0.00248722,0.001657767,0.002581463,0.001376972,0.005882961,0.006455929,0.006944129,0.007457185,0.002596545,0.001774345,0.004863051,0.001637361,0.001495787,0.001888822,0.001153049,0.003588666,0.001572799,0.002965759,0.002337416,0.001571781,0.001288934,0.00108731,0.001923272,0.001248427,0.006683217,0.002627324,0.001364573,0.006997525,0.004934848,0.001236593,0.001568556,0.002658471,0.001439287,0.005194021,0.002758124,0.008556193,0.002074339,0.002519185,0.001144294,0.001439782,0.001517096,0.001393171,0.004108771,0.002122938,0.001254599,0.001558617,0.004755333,0.001232831,0.001016092,0.001228201
ZR-200-D1,0.003472698,0.00391254,0.003243548,0.006328967,0.003243541,0.009888574,0.006332786,0.002888357,0.006427666,1.048337668,0.006246263,0.006380801,0.002329726,0.004308965,0.002783128,0.006293892,0.006872862,0.001550522,0.008347241,0.005289079,0.007658291,0.011629635,0.010895764,0.00178482,0.003204433,0.003082877,0.00553781,0.005271779,0.006592808,0.004502015,0.001314798,0.004663447,0.005481913,0.010699888,0.00579002,0.003024048,0.001791246,0.00498885,0.010261425,0.001483906,0.008971137,0.003926663,0.002643916,0.006061799,0.007735478,0.006358038,0.006411385,0.009003071,0.002195793,0.001547913,0.001499429,0.00571056,0.007634679,0.002456512,0.007302401,0.002202035,0.002492386,0.006220576,0.001646515,0.001875439,0.002225679,0.001306304,0.001233055,0.001108661,0.001167558,0.002828123,0.002472325,0.001811638,0.005636334,0.001691608,0.004845199,0.001349766,0.005615869,0.002986555,0.002576975,0.003343386,0.006135069,0.002311074,0.002361131,0.001684551,0.005782976,0.001521278,0.002161018,0.002642341,0.001333147,0.002211606,0.001665286,0.001722412,0.001571403,0.001373365,0.001897688,0.001149014,0.001640612,0.001214702,0.002208138,0.002673255,0.001819075,0.005485744,0.002934392,0.001605587,0.002064505,0.006085769,0.001224117,0.005010298,0.003146834,0.002146989,0.007645346,0.004015647,0.001091201,0.001502191,0.001505134,0.001709833,0.001818025,0.003727412,0.001696203,0.001289833,0.002117064,0.001879126,0.001015325,0.001095748
